Specie\Loci,12-ITS,1-Satyrium parviflorum voucher BB2217 trnK gene partial sequence; and maturase K (matK) gene complete cds; chloroplast gi,2-Monadenia bracteata chloroplast tRNA-Leu gene for transfer RNA-Leu and trnL-F intergenic spacer gi,3-Tylostigma perrieri plastid partial rbcL gene for RuBisCO specimen voucher K:RII 585 gi,4-Traunsteinera globosa genomic DNA containing psbA-trnH IGS specimen voucher MIB:ZPL:04317 gi,5-Orchis quadripunctata PsaB (psaB) gene partial cds; chloroplast gi,6-Ponerorchis kiraishiensis isolate Xdh53 xanthine dehydrogenase (Xdh) gene partial cds gi,7-Dactylorhiza maculata voucher Hedren 97214 ribosomal protein L16 (rpl16) gene partial sequence gi,8-Satyrium parviflorum voucher BB2217 trnL-trnF intergenic spacer and tRNA-Phe (trnF) gene partial sequence; chloroplast gi,9-Satyrium amblyosaccos voucher HK2004 tRNA-Leu (trnL) gene partial sequence; chloroplast gi,10-Brachycorythis neglecta voucher Tang & Lin 207 trnS-trnG intergenic spacer partial sequence; chloroplast gi
220599-Pelexia adnata,AJ539501.1,AJ543929.1,AJ544484.1,AJ542423.1,-,-,-,-,-,-,-
220582-Coccineorchis cernua,AJ539502.1,AJ543930.1,AJ544485.1,AJ542422.1,EU213722.1,-,-,-,-,-,-
220604-Stenorrhynchos speciosum,AJ539505.1,AJ543932.1,FJ571307.1,FJ571358.1,-,FJ571258.1,GU004491.1,-,-,-,-
179748-Cranichis ciliilabia,AJ539506.1,AJ543934.1,AJ544488.1,AJ542419.1,EU213726.1,-,-,-,-,-,-
220555-Ponthieva schaffneri,AJ539507.2,AJ543935.1,AJ544489.1,AJ542418.1,-,-,-,-,-,-,-
78841-Ponthieva racemosa,AJ539508.1,AJ543936.1,AJ544490.1,AF074223.1,EU213756.1,-,-,-,-,-,-
220557-Pterichis habenarioides,AJ539509.1,AJ543937.1,AJ544491.1,AJ542416.1,-,-,-,-,-,-,-
220574-Galeoglossum tubulosum,AJ539510.1,AJ543938.1,AJ544492.1,AJ542415.1,-,FJ571245.1,-,-,-,-,-
220575-Stenoptera ecuadorana,AJ539512.1,AJ543940.1,AJ544494.1,FJ571356.1,-,FJ571256.1,-,-,-,-,-
220570-Gomphichis bogotensis,AJ539513.1,AJ543941.1,AJ544495.1,AJ542412.1,-,-,-,-,-,-,-
220572-Porphyrostachys pilifera,AJ539514.1,AJ543942.1,FJ571291.1,FJ571341.1,-,FJ571241.1,-,-,-,-,-
78696-Aa paleacea,AJ539515.1,AJ309989.1,FJ571262.1,FJ571312.1,EU213704.1,FJ571211.1,-,-,-,-,-
220564-Manniella cypripedioides,AJ539516.1,AJ543943.1,AJ544498.1,AJ542409.1,-,FJ571231.1,-,-,-,-,-
220565-Manniella gustavi,AJ539517.1,AJ543944.1,AJ544499.1,AJ542408.1,-,-,-,-,-,-,-
220554-Galeottiella sarcoglossa,AJ539518.1,AJ543945.1,AJ544500.1,AJ542407.1,-,-,-,-,-,-,-
78780-Goodyera pubescens,AJ539519.1,AJ543954.1,FJ571279.1,FJ571329.1,KP643551.1,FJ571228.1,-,KC237326.1,-,-,-
220561-Platylepis polyadenia,AJ539520.1,AJ543946.1,AJ544501.1,AJ542406.1,-,-,-,-,-,-,-
177022-Chloraea magellanica,AJ539523.1,AJ543948.1,AJ544504.1,AJ542403.1,-,-,GU004488.1,-,-,-,-
177041-Gavilea lutea,AJ539524.1,AJ543949.1,AJ544505.1,AJ542402.1,-,-,-,-,-,-,-
177050-Pterostylis curta,AJ539526.1,AJ543951.1,AJ544507.1,AJ542400.1,-,-,GU004495.1,-,-,-,-
62867-Satyrium rhynchanthum,AJ539528.1,GU117888.1,AJ544510.1,AJ542397.1,-,-,-,-,-,-,EF594521.1
78817-Ophrys apifera,AJ539529.1,AJ310049.1,AJ409432.1,AJ542396.1,MH681198.1,AY381047.1,-,EU176042.1,-,-,-
59320-Dactylorhiza romana,AJ606131.1,AM883575.1,-,-,-,-,-,DQ022906.1,-,-,-
254902-Serapias neglecta subsp. apulica,AJ606133.1,-,-,-,-,-,-,-,EU045538.1,-,EU531518.1
254903-Serapias politisii,AJ606135.1,-,-,-,-,-,-,-,EU045535.1,-,EU531523.1
145936-Ophrys scolopax subsp. cornuta,AJ972933.1,-,AY014563.1,-,-,-,-,-,-,-,-
415390-Altensteinia fimbriata,AM419765.1,AM900801.1,AM412737.1,FJ571315.1,-,FJ571214.1,-,-,-,-,-
415388-Aa colombiana,AM419766.1,AM900802.1,AM412731.1,AM778133.1,-,-,GU004499.1,-,-,-,-
415389-Aa hartwegii,AM419767.1,AM900803.1,AM412730.1,AM778134.1,-,-,-,-,-,-,-
415400-Gomphichis caucana,AM419770.1,AM900805.1,AM412736.1,AM778136.1,-,-,-,-,-,-,-
415412-Prescottia petiolaris,AM419771.1,AM900806.1,AM412728.1,AM778137.1,-,-,-,-,-,-,-
415411-Prescottia cordifolia,AM419772.1,AM900807.1,AM412727.1,AM778138.1,-,-,-,-,-,-,-
415413-Prescottia stachyodes,AM419773.1,AM900808.1,AM412735.1,FJ571342.1,-,FJ571242.1,-,-,-,-,-
415387-Galeoglossum thysanochilum,AM419775.1,AM900810.1,AM412725.1,AM778141.1,-,-,-,-,FJ571296.1,-,-
415392-Cranichis ciliata,AM419776.1,AM900811.1,FJ571271.1,FJ571321.1,-,FJ571220.1,-,-,-,-,-
415396-Cranichis muscosa,AM419777.1,AM900812.1,AM412723.1,AM778143.1,-,-,-,-,-,-,-
415394-Cranichis diphylla,AM419778.1,AM900813.1,AM412722.1,AM778144.1,-,-,-,-,-,-,-
415395-Cranichis engelii,AM419779.1,AM900814.1,FJ571270.1,FJ571320.1,-,FJ571219.1,GU004500.1,-,-,-,-
415398-Cranichis subumbellata,AM419780.1,AM900815.1,AM412720.1,AM778149.1,-,-,-,-,-,-,-
415399-Cranichis sylvatica,AM419781.1,AM900816.1,AM412734.1,AM778150.1,-,-,-,-,-,-,-
